iter	Passed	Remaining
0	1	118
1	2	110
2	3	104
3	4	96
4	4	94
5	5	91
6	6	91
7	7	89
8	8	88
9	9	87
10	10	85
11	11	84
12	12	82
13	13	82
14	14	81
15	15	80
16	16	79
17	17	78
18	18	77
19	19	77
20	20	76
21	21	75
22	22	73
23	22	72
24	23	71
25	24	70
26	25	69
27	27	69
28	28	69
29	29	68
30	30	67
31	31	66
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	38	60
39	39	59
40	40	58
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	51
47	47	50
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	53	43
55	54	42
56	55	41
57	56	40
58	57	40
59	58	39
60	59	38
61	60	37
62	61	36
63	62	35
64	64	34
65	65	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	72	25
74	73	24
75	74	23
76	75	22
77	76	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	88	9
90	89	8
91	90	7
92	92	6
93	93	5
94	94	4
95	94	3
96	95	2
97	96	1
98	97	0
99	98	0
